Project,Project-URL,Filename,License,Attribution,Image-URI,MIME type,Event
Fränkische Reise,https://codingdavinci.de/de/projekte/fraenkische-reise,fraenkische_reise.png,,,/sites/default/files/2019-07/fraenkische_reise.png,image/png,Süd 2019
GastroGrantler,https://codingdavinci.de/de/projekte/gastrograntler,gastrograntler.jpg,,,/sites/default/files/2019-07/gastrograntler.jpg,image/jpeg,Süd 2019
Global Postmaster,https://codingdavinci.de/de/projekte/global-postmaster,global_postmaster.jpg,,,/sites/default/files/2019-07/global_postmaster.jpg,image/jpeg,Süd 2019
Kaiserpanorama VR+,https://codingdavinci.de/de/projekte/kaiserpanorama-vr,kaiserpanorama.jpg,,,/sites/default/files/2019-07/kaiserpanorama.jpg,image/jpeg,Süd 2019
Lauter Langweilige Sachen?,https://codingdavinci.de/de/projekte/lauter-langweilige-sachen,lauter_langweilige_sachen.png,,,/sites/default/files/2019-07/lauter_langweilige_sachen.png,image/png,Süd 2019
Linked Stage Graph,https://codingdavinci.de/de/projekte/linked-stage-graph,linked_stage_graph.png,,,/sites/default/files/2019-07/linked_stage_graph.png,image/png,Süd 2019
Math with Models,https://codingdavinci.de/de/projekte/math-models,math_with_models.jpg,,,/sites/default/files/2019-07/math_with_models.jpg,image/jpeg,Süd 2019
Memory Game,https://codingdavinci.de/de/projekte/memory-game,memory_game.png,,,/sites/default/files/2019-07/memory_game.png,image/png,Süd 2019
Musel,https://codingdavinci.de/de/projekte/musel,musel.png,,,/sites/default/files/2019-07/musel.png,image/png,Süd 2019
Schmankerl Time Machine,https://codingdavinci.de/de/projekte/schmankerl-time-machine,schmankerl_time_machine.png,,,/sites/default/files/2019-07/schmankerl_time_machine.png,image/png,Süd 2019
Spiele-Safari,https://codingdavinci.de/de/projekte/spiele-safari,spiele_safari.jpg,,,/sites/default/files/2019-07/spiele_safari.jpg,image/jpeg,Süd 2019
162 Ways to Die,https://codingdavinci.de/de/projekte/162-ways-die,ways_162_to_die.jpg,,,/sites/default/files/2019-07/ways_162_to_die.jpg,image/jpeg,Süd 2019
